chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
TEAM,2020-08-14,180.0000,call,buy,2020-08-05T17:58:20.015819Z,debit,1.00000,limit,long_call,,4.10000000,1.00000
TEAM,2020-08-14,185.0000,call,sell,2020-08-05T17:55:58.811968Z,credit,1.00000,limit,,long_call,2.20000000,1.00000
SQ,2020-08-21,150.0000,call,sell,2020-08-05T16:43:59.817982Z,credit,1.00000,limit,,long_call,6.50000000,1.00000
DDOG,2020-08-21,95.0000,call,sell,2020-08-05T13:44:56.380065Z,credit,1.00000,limit,,long_call,6.20000000,1.00000
SQ,2020-08-07,135.0000,call,sell,2020-08-05T13:40:03.687358Z,credit,1.00000,limit,,long_call,20.20000000,1.00000
SPY,2020-08-05,330.0000,call,sell,2020-08-05T13:31:50.996370Z,credit,1.00000,limit,,long_call,1.75000000,1.00000
SPY,2020-08-05,330.0000,call,buy,2020-08-04T19:01:35.729916Z,debit,1.00000,limit,long_call,,0.81000000,1.00000
SPY,2020-08-05,328.0000,put,buy,2020-08-04T18:56:10.142228Z,debit,1.00000,limit,long_put,,0.99000000,1.00000
DDOG,2020-08-21,95.0000,call,buy,2020-08-04T15:46:13.603233Z,debit,1.00000,limit,long_call,,6.10000000,1.00000
TEAM,2020-08-14,185.0000,call,buy,2020-08-04T15:45:23.863499Z,debit,1.00000,limit,long_call,,2.50000000,1.00000
TEAM,2020-08-07,175.0000,call,sell,2020-08-04T14:03:57.041807Z,credit,1.00000,limit,,long_call,6.00000000,1.00000
TEAM,2020-08-07,175.0000,call,sell,2020-08-04T13:32:51.948584Z,credit,1.00000,limit,,long_call,5.30000000,1.00000
SQ,2020-08-21,150.0000,call,buy,2020-08-03T19:23:50.235827Z,debit,1.00000,limit,long_call,,4.10000000,1.00000
SPY,2020-08-07,326.0000,put,buy,2020-08-03T15:37:10.060963Z,debit,1.00000,limit,long_put,,1.71000000,1.00000
SQ,2020-08-07,135.0000,call,sell,2020-08-03T13:30:47.024833Z,credit,2.00000,limit,,long_call,4.40000000,2.00000
DAL,2020-08-21,29.0000,call,sell,2020-07-31T19:12:38.300431Z,credit,4.00000,limit,,long_call,0.27000000,4.00000
DDOG,2020-08-21,95.0000,call,buy,2020-07-31T17:33:15.079135Z,debit,1.00000,limit,long_call,,6.10000000,1.00000
TEAM,2020-08-07,175.0000,call,buy,2020-07-31T16:12:41.158061Z,debit,1.00000,limit,long_call,,3.20000000,1.00000
SQ,2020-08-07,135.0000,call,buy,2020-07-31T14:27:45.539803Z,debit,1.00000,limit,long_call,,3.35000000,1.00000
QQQ,2020-07-31,257.0000,put,sell,2020-07-31T14:23:15.345927Z,credit,1.00000,limit,,long_put,0.15000000,1.00000
SQ,2020-08-07,135.0000,call,buy,2020-07-31T14:17:57.895988Z,debit,1.00000,limit,long_call,,3.30000000,1.00000
TEAM,2020-08-07,175.0000,call,buy,2020-07-31T13:43:27.085803Z,debit,1.00000,limit,long_call,,3.80000000,1.00000
ADBE,2020-08-07,445.0000,call,sell,2020-07-31T13:34:53.785437Z,credit,1.00000,limit,,long_call,5.70000000,1.00000
QQQ,2020-07-31,263.0000,call,sell,2020-07-31T13:31:11.332949Z,credit,1.00000,limit,,long_call,2.40000000,1.00000
AAPL,2020-08-21,400.0000,call,sell,2020-07-30T19:57:08.758909Z,credit,1.00000,limit,,long_call,5.85000000,1.00000
QQQ,2020-07-31,263.0000,call,buy,2020-07-30T19:55:45.401648Z,debit,1.00000,limit,long_call,,1.68000000,1.00000
QQQ,2020-07-31,257.0000,put,buy,2020-07-30T19:50:50.055582Z,debit,1.00000,limit,long_put,,1.19000000,1.00000
ADBE,2020-08-07,445.0000,call,sell,2020-07-30T19:49:03.805299Z,credit,1.00000,limit,,long_call,5.20000000,1.00000
SQ,2020-08-07,135.0000,call,buy,2020-07-30T17:30:13.329241Z,debit,1.00000,limit,long_call,,3.80000000,1.00000
ADBE,2020-08-07,445.0000,call,sell,2020-07-30T16:22:43.846533Z,credit,1.00000,limit,,long_call,5.30000000,1.00000
ADBE,2020-08-07,445.0000,call,buy,2020-07-30T15:21:33.595097Z,debit,1.00000,limit,long_call,,4.55000000,1.00000
AAPL,2020-08-21,400.0000,call,sell,2020-07-30T15:14:19.965648Z,credit,1.00000,limit,,long_call,4.85000000,1.00000
ADBE,2020-08-07,445.0000,call,buy,2020-07-30T14:35:57.378527Z,debit,1.00000,limit,long_call,,3.20000000,1.00000
QQQ,2020-07-31,251.0000,put,sell,2020-07-30T14:10:24.592974Z,credit,1.00000,limit,,long_put,0.86000000,1.00000
ADBE,2020-08-07,445.0000,call,buy,2020-07-30T13:38:37.760031Z,debit,1.00000,limit,long_call,,3.50000000,1.00000
PYPL,2020-08-07,190.0000,call,sell,2020-07-30T13:30:54.082616Z,credit,1.00000,limit,,long_call,5.30000000,1.00000
